Freq(Hz),S11(DB),S11(DEG),S22(DB),S22(DEG),S21(DB),S21(DEG)
15202400000,-31.376726,-18.735413,-29.432232,-31.527157,-10.416321,33.687393
15302350000,-26.573563,-31.384733,-29.986256,-57.364738,-10.45391,141.1358
15402300000,-26.915642,-8.7312393,-26.70155,-72.519554,-10.493457,-111.4738
15502250000,-28.1222,-33.359451,-29.383757,-88.534897,-10.518296,-4.0290766
15602200000,-27.668482,-46.938484,-30.732986,-115.77428,-10.552812,103.37022
15702150000,-24.205956,-31.753738,-28.040052,-118.60265,-10.604347,-149.27681
15802100000,-27.293337,-56.578739,-28.331699,-125.99506,-10.627007,-41.823921
15902050000,-26.322292,-45.592964,-30.045204,-98.453407,-10.662611,65.51593
16002000000,-25.73391,-63.120502,-27.90502,-127.54821,-10.698609,172.92802
16101950000,-30.277138,-67.474693,-30.491819,-161.66954,-10.726937,-79.650337
16201900000,-25.823553,-59.000256,-26.316942,-179.41147,-10.777087,27.796589
16301850000,-28.003899,-75.714973,-26.506435,160.79727,-10.804805,135.22403
16401800000,-27.432739,-92.034042,-26.972195,160.9782,-10.841764,-117.37699
16501750000,-26.142693,-81.229019,-24.980295,164.44324,-10.886007,-10.054967
16601700000,-30.638014,-87.613708,-31.544821,150.48436,-10.905028,97.386932
16701650000,-28.620947,-109.72468,-27.808645,105.60508,-10.945308,-155.08916
16801600000,-27.227539,-81.180405,-23.749063,114.46017,-10.992329,-47.739563
16901550000,-28.917377,-121.57087,-24.931528,99.212616,-11.018175,59.754559
17001500000,-29.141613,-156.68938,-24.528847,78.62532,-11.063882,167.2823
17101450000,-25.950735,-104.90914,-22.827305,92.523041,-11.106098,-85.411186
17201400000,-34.333462,-135.77917,-25.242823,97.699287,-11.123003,21.904465
17301350000,-28.645222,-149.58569,-30.131645,64.074257,-11.152881,129.34604
17401300000,-23.154728,-142.88136,-21.942036,50.529934,-11.232034,-123.19621
17501250000,-28.923584,178.04092,-24.989653,56.510593,-11.229288,-15.622971
17601200000,-29.21442,159.67328,-27.999769,27.529072,-11.2533,91.860199
17701150000,-26.100571,-175.84727,-22.316494,28.108578,-11.31589,-160.77693
17801100000,-41.023212,-117.50126,-23.899191,47.749813,-11.341702,-53.451031
17901050000,-27.975082,137.99878,-40.097836,87.609077,-11.370407,53.983772
18001000000,-27.456459,174.01587,-28.627207,-17.784554,-11.385859,161.39128
18100950000,-31.919104,-164.97131,-28.345043,9.4038887,-11.416051,-91.110008
18200900000,-27.046404,144.62762,-29.361052,7.4588099,-11.448842,16.391052
18300850000,-23.613111,148.62527,-24.743641,-48.749527,-11.513234,123.90855
18400800000,-33.708931,-152.481,-23.72093,-12.285495,-11.538328,-128.82623
18500750000,-28.223227,81.733406,-30.835083,33.383587,-11.56272,-21.41498
18600700000,-25.656235,126.72822,-32.114147,-123.28519,-11.578419,85.959229
18700650000,-30.808786,158.36125,-35.194126,-101.88547,-11.598483,-166.63283
18800600000,-32.017216,94.460106,-47.503922,-118.78226,-11.630921,-59.076416
18900550000,-23.452694,111.56629,-27.158157,-163.54356,-11.69592,48.322819
19000500000,-29.395817,155.29897,-28.189478,-95.837082,-11.715515,155.72699
19100450000,-30.540823,76.874557,-61.063805,144.22389,-11.736208,-96.856438
19200400000,-24.879707,101.46881,-27.165293,107.83567,-11.783175,10.493632
19300350000,-30.986319,85.323914,-28.278242,135.93633,-11.795308,117.94812
19400300000,-32.293869,66.163719,-31.044605,128.08635,-11.821196,-134.50252
19500250000,-27.11891,63.009548,-23.925859,128.09917,-11.877101,-27.052233
19600200000,-28.398521,106.16827,-25.234203,157.24135,-11.902526,80.236046
19700150000,-33.081676,57.643684,-27.680782,130.86287,-11.920838,-172.37822
19800100000,-28.555359,62.747581,-26.967272,82.809906,-11.958517,-64.879425
19900050000,-27.297777,104.13216,-23.645374,85.199493,-12.00077,42.558964
20000000000,-27.495817,80.604118,-24.394072,83.34346,-12.021984,150.04543
